Num;Group;Part;Axe;JM;Calculation;Feature
147;Gyroscope;Body;X;;arCoeff;tBodyGyro-arCoeff-X,2
148;Gyroscope;Body;X;;arCoeff;tBodyGyro-arCoeff-X,3
149;Gyroscope;Body;X;;arCoeff;tBodyGyro-arCoeff-X,4
150;Gyroscope;Body;Y;;arCoeff;tBodyGyro-arCoeff-Y,1
151;Gyroscope;Body;Y;;arCoeff;tBodyGyro-arCoeff-Y,2
152;Gyroscope;Body;Y;;arCoeff;tBodyGyro-arCoeff-Y,3
153;Gyroscope;Body;Y;;arCoeff;tBodyGyro-arCoeff-Y,4
154;Gyroscope;Body;Z;;arCoeff;tBodyGyro-arCoeff-Z,1
155;Gyroscope;Body;Z;;arCoeff;tBodyGyro-arCoeff-Z,2
156;Gyroscope;Body;Z;;arCoeff;tBodyGyro-arCoeff-Z,3
157;Gyroscope;Body;Z;;arCoeff;tBodyGyro-arCoeff-Z,4
158;Gyroscope;Body;XY;;correlation;tBodyGyro-correlation()-X,Y
159;Gyroscope;Body;XZ;;correlation;tBodyGyro-correlation()-X,Z
160;Gyroscope;Body;YZ;;correlation;tBodyGyro-correlation()-Y,Z
161;Gyroscope;Body;X;Jerk;mean;tBodyGyroJerk-mean()-X
162;Gyroscope;Body;Y;Jerk;mean;tBodyGyroJerk-mean()-Y
163;Gyroscope;Body;Z;Jerk;mean;tBodyGyroJerk-mean()-Z
164;Gyroscope;Body;X;Jerk;std;tBodyGyroJerk-std()-X
165;Gyroscope;Body;Y;Jerk;std;tBodyGyroJerk-std()-Y
166;Gyroscope;Body;Z;Jerk;std;tBodyGyroJerk-std()-Z
167;Gyroscope;Body;X;Jerk;mad;tBodyGyroJerk-mad()-X
168;Gyroscope;Body;Y;Jerk;mad;tBodyGyroJerk-mad()-Y
169;Gyroscope;Body;Z;Jerk;mad;tBodyGyroJerk-mad()-Z
170;Gyroscope;Body;X;Jerk;max;tBodyGyroJerk-max()-X
171;Gyroscope;Body;Y;Jerk;max;tBodyGyroJerk-max()-Y
172;Gyroscope;Body;Z;Jerk;max;tBodyGyroJerk-max()-Z
173;Gyroscope;Body;X;Jerk;min;tBodyGyroJerk-min()-X
174;Gyroscope;Body;Y;Jerk;min;tBodyGyroJerk-min()-Y
175;Gyroscope;Body;Z;Jerk;min;tBodyGyroJerk-min()-Z
176;Gyroscope;Body;;Jerk;sma;tBodyGyroJerk-sma()
177;Gyroscope;Body;X;Jerk;energy;tBodyGyroJerk-energy()-X
178;Gyroscope;Body;Y;Jerk;energy;tBodyGyroJerk-energy()-Y
179;Gyroscope;Body;Z;Jerk;energy;tBodyGyroJerk-energy()-Z
180;Gyroscope;Body;X;Jerk;iqr;tBodyGyroJerk-iqr()-X
181;Gyroscope;Body;Y;Jerk;iqr;tBodyGyroJerk-iqr()-Y
182;Gyroscope;Body;Z;Jerk;iqr;tBodyGyroJerk-iqr()-Z
183;Gyroscope;Body;X;Jerk;entropy;tBodyGyroJerk-entropy()-X
184;Gyroscope;Body;Y;Jerk;entropy;tBodyGyroJerk-entropy()-Y
185;Gyroscope;Body;Z;Jerk;entropy;tBodyGyroJerk-entropy()-Z
186;Gyroscope;Body;X;Jerk;arCoeff;tBodyGyroJerk-arCoeff-X,1
187;Gyroscope;Body;X;Jerk;arCoeff;tBodyGyroJerk-arCoeff-X,2
188;Gyroscope;Body;X;Jerk;arCoeff;tBodyGyroJerk-arCoeff-X,3
189;Gyroscope;Body;X;Jerk;arCoeff;tBodyGyroJerk-arCoeff-X,4
190;Gyroscope;Body;Y;Jerk;arCoeff;tBodyGyroJerk-arCoeff-Y,1
191;Gyroscope;Body;Y;Jerk;arCoeff;tBodyGyroJerk-arCoeff-Y,2
192;Gyroscope;Body;Y;Jerk;arCoeff;tBodyGyroJerk-arCoeff-Y,3
193;Gyroscope;Body;Y;Jerk;arCoeff;tBodyGyroJerk-arCoeff-Y,4
194;Gyroscope;Body;Z;Jerk;arCoeff;tBodyGyroJerk-arCoeff-Z,1
195;Gyroscope;Body;Z;Jerk;arCoeff;tBodyGyroJerk-arCoeff-Z,2
196;Gyroscope;Body;Z;Jerk;arCoeff;tBodyGyroJerk-arCoeff-Z,3
197;Gyroscope;Body;Z;Jerk;arCoeff;tBodyGyroJerk-arCoeff-Z,4
198;Gyroscope;Body;XY;Jerk;correlation;tBodyGyroJerk-correlation()-X,Y
199;Gyroscope;Body;XZ;Jerk;correlation;tBodyGyroJerk-correlation()-X,Z
200;Gyroscope;Body;YZ;Jerk;correlation;tBodyGyroJerk-correlation()-Y,Z
201;Accelerometer;Body;;Mag;mean;tBodyAccMag-mean()
202;Accelerometer;Body;;Mag;std;tBodyAccMag-std()
203;Accelerometer;Body;;Mag;mad;tBodyAccMag-mad()
204;Accelerometer;Body;;Mag;max;tBodyAccMag-max()
205;Accelerometer;Body;;Mag;min;tBodyAccMag-min()
206;Accelerometer;Body;;Mag;sma;tBodyAccMag-sma()
207;Accelerometer;Body;;Mag;energy;tBodyAccMag-energy()
208;Accelerometer;Body;;Mag;iqr;tBodyAccMag-iqr()
209;Accelerometer;Body;;Mag;entropy;tBodyAccMag-entropy()
210;Accelerometer;Body;;Mag;arCoeff;tBodyAccMag-arCoeff1
211;Accelerometer;Body;;Mag;arCoeff;tBodyAccMag-arCoeff2
212;Accelerometer;Body;;Mag;arCoeff;tBodyAccMag-arCoeff3
213;Accelerometer;Body;;Mag;arCoeff;tBodyAccMag-arCoeff4
214;Accelerometer;Gravity;;Mag;mean;tGravityAccMag-mean()
215;Accelerometer;Gravity;;Mag;std;tGravityAccMag-std()
216;Accelerometer;Gravity;;Mag;mad;tGravityAccMag-mad()
217;Accelerometer;Gravity;;Mag;max;tGravityAccMag-max()
218;Accelerometer;Gravity;;Mag;min;tGravityAccMag-min()
219;Accelerometer;Gravity;;Mag;sma;tGravityAccMag-sma()
220;Accelerometer;Gravity;;Mag;energy;tGravityAccMag-energy()
221;Accelerometer;Gravity;;Mag;iqr;tGravityAccMag-iqr()
222;Accelerometer;Gravity;;Mag;entropy;tGravityAccMag-entropy()
223;Accelerometer;Gravity;;Mag;arCoeff;tGravityAccMag-arCoeff1
224;Accelerometer;Gravity;;Mag;arCoeff;tGravityAccMag-arCoeff2
225;Accelerometer;Gravity;;Mag;arCoeff;tGravityAccMag-arCoeff3
226;Accelerometer;Gravity;;Mag;arCoeff;tGravityAccMag-arCoeff4
227;Accelerometer;Body;;Jerk/Mag;mean;tBodyAccJerkMag-mean()
228;Accelerometer;Body;;Jerk/Mag;std;tBodyAccJerkMag-std()
229;Accelerometer;Body;;Jerk/Mag;mad;tBodyAccJerkMag-mad()
230;Accelerometer;Body;;Jerk/Mag;max;tBodyAccJerkMag-max()
231;Accelerometer;Body;;Jerk/Mag;min;tBodyAccJerkMag-min()
232;Accelerometer;Body;;Jerk/Mag;sma;tBodyAccJerkMag-sma()
233;Accelerometer;Body;;Jerk/Mag;energy;tBodyAccJerkMag-energy()
234;Accelerometer;Body;;Jerk/Mag;iqr;tBodyAccJerkMag-iqr()
235;Accelerometer;Body;;Jerk/Mag;entropy;tBodyAccJerkMag-entropy()
236;Accelerometer;Body;;Jerk/Mag;arCoeff;tBodyAccJerkMag-arCoeff1
237;Accelerometer;Body;;Jerk/Mag;arCoeff;tBodyAccJerkMag-arCoeff2
238;Accelerometer;Body;;Jerk/Mag;arCoeff;tBodyAccJerkMag-arCoeff3
239;Accelerometer;Body;;Jerk/Mag;arCoeff;tBodyAccJerkMag-arCoeff4
240;Gyroscope;Body;;Mag;mean;tBodyGyroMag-mean()
241;Gyroscope;Body;;Mag;std;tBodyGyroMag-std()
242;Gyroscope;Body;;Mag;mad;tBodyGyroMag-mad()
243;Gyroscope;Body;;Mag;max;tBodyGyroMag-max()
244;Gyroscope;Body;;Mag;min;tBodyGyroMag-min()
245;Gyroscope;Body;;Mag;sma;tBodyGyroMag-sma()
246;Gyroscope;Body;;Mag;energy;tBodyGyroMag-energy()
247;Gyroscope;Body;;Mag;iqr;tBodyGyroMag-iqr()
248;Gyroscope;Body;;Mag;entropy;tBodyGyroMag-entropy()
249;Gyroscope;Body;;Mag;arCoeff;tBodyGyroMag-arCoeff1
250;Gyroscope;Body;;Mag;arCoeff;tBodyGyroMag-arCoeff2
251;Gyroscope;Body;;Mag;arCoeff;tBodyGyroMag-arCoeff3
252;Gyroscope;Body;;Mag;arCoeff;tBodyGyroMag-arCoeff4
253;Gyroscope;Body;;Jerk/Mag;mean;tBodyGyroJerkMag-mean()
254;Gyroscope;Body;;Jerk/Mag;std;tBodyGyroJerkMag-std()
255;Gyroscope;Body;;Jerk/Mag;mad;tBodyGyroJerkMag-mad()
256;Gyroscope;Body;;Jerk/Mag;max;tBodyGyroJerkMag-max()
257;Gyroscope;Body;;Jerk/Mag;min;tBodyGyroJerkMag-min()
258;Gyroscope;Body;;Jerk/Mag;sma;tBodyGyroJerkMag-sma()
259;Gyroscope;Body;;Jerk/Mag;energy;tBodyGyroJerkMag-energy()
260;Gyroscope;Body;;Jerk/Mag;iqr;tBodyGyroJerkMag-iqr()
261;Gyroscope;Body;;Jerk/Mag;entropy;tBodyGyroJerkMag-entropy()
262;Gyroscope;Body;;Jerk/Mag;arCoeff;tBodyGyroJerkMag-arCoeff1
263;Gyroscope;Body;;Jerk/Mag;arCoeff;tBodyGyroJerkMag-arCoeff2
264;Gyroscope;Body;;Jerk/Mag;arCoeff;tBodyGyroJerkMag-arCoeff3
265;Gyroscope;Body;;Jerk/Mag;arCoeff;tBodyGyroJerkMag-arCoeff4
266;Accelerometer;Body;X;;mean;fBodyAcc-mean()-X
267;Accelerometer;Body;Y;;mean;fBodyAcc-mean()-Y
268;Accelerometer;Body;Z;;mean;fBodyAcc-mean()-Z
269;Accelerometer;Body;X;;std;fBodyAcc-std()-X
270;Accelerometer;Body;Y;;std;fBodyAcc-std()-Y
271;Accelerometer;Body;Z;;std;fBodyAcc-std()-Z
272;Accelerometer;Body;X;;mad;fBodyAcc-mad()-X
273;Accelerometer;Body;Y;;mad;fBodyAcc-mad()-Y
274;Accelerometer;Body;Z;;mad;fBodyAcc-mad()-Z
275;Accelerometer;Body;X;;max;fBodyAcc-max()-X
276;Accelerometer;Body;Y;;max;fBodyAcc-max()-Y
277;Accelerometer;Body;Z;;max;fBodyAcc-max()-Z
278;Accelerometer;Body;X;;min;fBodyAcc-min()-X
279;Accelerometer;Body;Y;;min;fBodyAcc-min()-Y
280;Accelerometer;Body;Z;;min;fBodyAcc-min()-Z
281;Accelerometer;Body;;;sma;fBodyAcc-sma()
282;Accelerometer;Body;X;;energy;fBodyAcc-energy()-X
283;Accelerometer;Body;Y;;energy;fBodyAcc-energy()-Y
284;Accelerometer;Body;Z;;energy;fBodyAcc-energy()-Z
285;Accelerometer;Body;X;;iqr;fBodyAcc-iqr()-X
286;Accelerometer;Body;Y;;iqr;fBodyAcc-iqr()-Y
287;Accelerometer;Body;Z;;iqr;fBodyAcc-iqr()-Z
288;Accelerometer;Body;X;;entropy;fBodyAcc-entropy()-X
289;Accelerometer;Body;Y;;entropy;fBodyAcc-entropy()-Y
290;Accelerometer;Body;Z;;entropy;fBodyAcc-entropy()-Z
291;Accelerometer;Body;X;;max;fBodyAcc-maxInds-X
292;Accelerometer;Body;Y;;max;fBodyAcc-maxInds-Y
293;Accelerometer;Body;Z;;max;fBodyAcc-maxInds-Z
294;Accelerometer;Body;X;;mean;fBodyAcc-meanFreq()-X
295;Accelerometer;Body;Y;;mean;fBodyAcc-meanFreq()-Y
296;Accelerometer;Body;Z;;mean;fBodyAcc-meanFreq()-Z
297;Accelerometer;Body;X;;skewness;fBodyAcc-skewness()-X
298;Accelerometer;Body;X;;kurtosis;fBodyAcc-kurtosis()-X
299;Accelerometer;Body;Y;;skewness;fBodyAcc-skewness()-Y
300;Accelerometer;Body;Y;;kurtosis;fBodyAcc-kurtosis()-Y
301;Accelerometer;Body;Z;;skewness;fBodyAcc-skewness()-Z
302;Accelerometer;Body;Z;;kurtosis;fBodyAcc-kurtosis()-Z
303;Accelerometer;Body;;;energy;fBodyAcc-bandsEnergy()-1,8a
304;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-9,16-X
305;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-17,24-X
306;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-25,32-X
307;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-33,40-X
308;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-41,48-X
309;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-49,56-X
310;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-57,64-X
311;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-1,16-X
312;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-17,32-X
313;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-33,48-X
314;Accelerometer;Body;;;energy;fBodyAcc-bandsEnergy()-49,64a
315;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-1,24-X
316;Accelerometer;Body;X;;energy;fBodyAcc-bandsEnergy()-25,48-X
317;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-1,8-Y
318;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-9,16-Y
319;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-17,24-Y
320;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-25,32-Y
321;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-33,40-Y
322;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-41,48-Y
323;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-49,56-Y
324;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-57,64-Y
325;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-1,16-Y
326;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-17,32-Y
327;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-33,48-Y
328;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-49,64-Y
329;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-1,24-Y
330;Accelerometer;Body;Y;;energy;fBodyAcc-bandsEnergy()-25,48-Y
331;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-1,8-Z
332;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-9,16-Z
333;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-17,24-Z
334;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-25,32-Z
335;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-33,40-Z
336;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-41,48-Z
337;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-49,56-Z
338;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-57,64-Z
339;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-1,16-Z
340;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-17,32-Z
341;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-33,48-Z
342;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-49,64-Z
343;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-1,24-Z
344;Accelerometer;Body;Z;;energy;fBodyAcc-bandsEnergy()-25,48-Z
345;Accelerometer;Body;X;Jerk;mean;fBodyAccJerk-mean()-X
346;Accelerometer;Body;Y;Jerk;mean;fBodyAccJerk-mean()-Y
347;Accelerometer;Body;Z;Jerk;mean;fBodyAccJerk-mean()-Z
348;Accelerometer;Body;X;Jerk;std;fBodyAccJerk-std()-X
349;Accelerometer;Body;Y;Jerk;std;fBodyAccJerk-std()-Y
350;Accelerometer;Body;Z;Jerk;std;fBodyAccJerk-std()-Z
351;Accelerometer;Body;X;Jerk;mad;fBodyAccJerk-mad()-X
352;Accelerometer;Body;Y;Jerk;mad;fBodyAccJerk-mad()-Y
353;Accelerometer;Body;Z;Jerk;mad;fBodyAccJerk-mad()-Z
354;Accelerometer;Body;X;Jerk;max;fBodyAccJerk-max()-X
355;Accelerometer;Body;Y;Jerk;max;fBodyAccJerk-max()-Y
356;Accelerometer;Body;Z;Jerk;max;fBodyAccJerk-max()-Z
357;Accelerometer;Body;X;Jerk;min;fBodyAccJerk-min()-X
358;Accelerometer;Body;Y;Jerk;min;fBodyAccJerk-min()-Y
359;Accelerometer;Body;Z;Jerk;min;fBodyAccJerk-min()-Z
360;Accelerometer;Body;;Jerk;sma;fBodyAccJerk-sma()
361;Accelerometer;Body;X;Jerk;energy;fBodyAccJerk-energy()-X
362;Accelerometer;Body;Y;Jerk;energy;fBodyAccJerk-energy()-Y
